title,price,Bedrooms,square_feet,full_address,monthly,apartment,cats_allowed,dogs_allowed,laundry_on_site,air_conditioning,off_street_parking,EV_charging,washer_dryer_in_unit,carport,no_smoking,attached_garage,detached_garage,laundry_in_bldg,fee_needed_to_apply,wheelchair_accessible,no_parking,furnished,street_parking,no_laundry_on_site,house,washer_dryer_hookups,date_added,latitude,longitude,nearest_budget_grocery_store_distance,nearest_budget_grocery_store,nearest_midTier_grocery_store_distance,nearest_midTier_grocery_store,nearest_premium_grocery_store_distance,nearest_premium_grocery_store
1 Bedroom 1 Bath in West Los Angeles * Air Conditioning * Pet-Friendly,2650.0,1br,850.0,"1810 South Bentley Avenue, West Los Angeles, CA 91423",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-31,34.0463984,-118.4415696,0.711583087284514,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",0.9019415283978094,"Ralphs Fresh Fare - 11727 W Olympic Blvd, Los Angeles",0.4923092197729521,"Bristol Farms - 1515 Westwood Blvd, Los Angeles"
1 Bedroom in Venice with 2 WEEKS FREE + Picnic Area with Barbecue,2450.0,1br,750.0,"237 Fourth Avenue, Venice, CA 90291",1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2024-05-31,33.9981119,-118.4759566,0.6947884967646495,"Smart & Final Extra! - 604 Lincoln Blvd, Venice",0.8429799546904776,"Ralphs - 910 Lincoln Blvd, Venice",0.4068125280442373,"Whole Foods Market - 225 Lincoln Blvd, Venice"
Charming 1 bed / 1 bath with great character! 544 Sq Feet,3190.0,1br,544.0,"3644 Overland Ave, Los Angeles, CA 90034",1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,2024-05-31,34.02226640000001,-118.4093348,1.898844591291373,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",1.3979296779817754,"Ralphs - 11361 National Blvd, Los Angeles",1.6393680212492403,"Whole Foods Market - 11666 National Blvd, Los Angeles"
"Comfortable living. Conveniently located, spacious 1 bed 1 bath!",3145.0,1br,525.0,"3644 Overland Ave, Los Angeles, CA 90034",1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2024-05-31,34.02226640000001,-118.4093348,1.898844591291373,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",1.3979296779817754,"Ralphs - 11361 National Blvd, Los Angeles",1.6393680212492403,"Whole Foods Market - 11666 National Blvd, Los Angeles"
"One Month Free Rent!!, Mirrored oversized closets, Balcony or patio",2744.0,1br,800.0,"233 South Barrington Avenue, Los Angeles, CA 90049",1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-31,34.0638641,-118.4692654,1.6855062011842188,"Smart & Final - 12210 Santa Monica Blvd W, Los Angeles",1.3114778956195163,"Ralphs Fresh Fare - 12057 Wilshire Blvd, Los Angeles",0.7156669290325806,"Whole Foods Market - 11737 San Vicente Blvd, Los Angeles"
- Intimate poolside cabanas,3665.0,1br,616.0,"11950 Idaho Ave., Los Angeles, CA 90025",1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,2024-05-31,34.0394434,-118.4600878,0.2485048741751821,"Smart & Final - 12210 Santa Monica Blvd W, Los Angeles",0.5529358458428637,"Ralphs Fresh Fare - 12057 Wilshire Blvd, Los Angeles",0.7319186815308477,"Bristol Farms - 3105 Wilshire Blvd, Santa Monica"
"Courtyard Seating, Tour Today, Fireplace*, A Must See",2964.0,1br,664.0,"1920 Sawtelle Ave, Los Angeles, CA 90025",1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2024-05-31,34.0422605,-118.4444631,0.5525237502951821,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",0.5717313158220909,"Ralphs Fresh Fare - 11727 W Olympic Blvd, Los Angeles",0.8061002753658811,"Bristol Farms - 1515 Westwood Blvd, Los Angeles"
"Vaulted Ceiling, Cable Ready, Controlled Access Parking, Pool",2677.0,1br,767.0,"535 Gayley Avenue, Westwood, CA 90024",1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2024-05-31,34.0692142,-118.4507019,2.1782263042537378,"Smart & Final - 12210 Santa Monica Blvd W, Los Angeles",0.598282292539239,"Ralphs Fresh Fare - 10861 Weyburn Ave, Los Angeles",0.5951260875562286,"Whole Foods Market - 1050 Gayley Ave, Los Angeles"
"Change Is in The Air, Feel Today, Walking Distance to UCLA",3205.0,1br,750.0,"415 Gayley Ave, Los Angeles, CA 90024",1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,2024-05-31,34.07017,-118.4544301,2.1744226287655324,"Smart & Final - 12210 Santa Monica Blvd W, Los Angeles",0.8005558265452603,"Ralphs Fresh Fare - 10861 Weyburn Ave, Los Angeles",0.7546116911370452,"Whole Foods Market - 1050 Gayley Ave, Los Angeles"
"Garage, Elevator, Covered Parking, Refrigerator",3404.0,1br,700.0,"10959 Rochester Avenue, Los Angeles, CA 90024",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2024-05-31,34.0560268,-118.4445086,1.3967401574381175,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",0.4333800561847219,"Trader Joe's - 1000 Glendon Ave, Los Angeles",0.2852113819032593,"Bristol Farms - 1515 Westwood Blvd, Los Angeles"
"1bed1bath, Renovated, Modern Fixtures/Appliances, Rooftop Pool, Gym",2301.0,1br,670.0,"3324 Castle Heights Ave., Los Angeles, CA 90034",1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2024-05-31,34.0305075,-118.3998031,2.2052381013457163,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",1.9432874285832755,"Ralphs - 11361 National Blvd, Los Angeles",2.2541508873924054,"Whole Foods Market - 11666 National Blvd, Los Angeles"
"On-Site Management, Beautiful Landscaping, Assigned Gated Parking",2235.0,1br,797.0,"3516 Sawtelle, Los Angeles, CA 90066",1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2024-05-31,34.0165601,-118.4233841,1.6085088103420695,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",0.8684957259971924,"Ralphs - 11361 National Blvd, Los Angeles",0.9299153995882328,"Whole Foods Market - 11666 National Blvd, Los Angeles"
"Window Coverings, Bike Racks, Electronic Thermostat",2903.0,1br,771.0,"10983 Wellworth Ave., Los Angeles, CA 90024",1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2024-05-31,34.056554,-118.4456552,1.4512190121955877,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",0.4093251274142085,"Trader Joe's - 1000 Glendon Ave, Los Angeles",0.328353291383101,"Whole Foods Market - 1050 Gayley Ave, Los Angeles"
"Dishwasher, Free Weights, Controlled Access/Gated",4676.0,1br,941.0,"10833 Wilshire Blvd, Los Angeles, CA 90024",1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2024-05-31,34.0599575,-118.4408673,1.6219727098472632,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",0.2306644806793279,"Trader Joe's - 1000 Glendon Ave, Los Angeles",0.3573312456019647,"Whole Foods Market - 1050 Gayley Ave, Los Angeles"
"One Month Free Rent!!, 24-Hour cardio fitness center, Balcony or patio",3047.0,1br,800.0,"233 South Barrington Avenue, Los Angeles, CA 90049",1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-31,34.0638641,-118.4692654,1.6855062011842188,"Smart & Final - 12210 Santa Monica Blvd W, Los Angeles",1.3114778956195163,"Ralphs Fresh Fare - 12057 Wilshire Blvd, Los Angeles",0.7156669290325806,"Whole Foods Market - 11737 San Vicente Blvd, Los Angeles"
Great Experiences Are Just Around the Corner. Westwood Village.,2828.0,1br,700.0,"415 Gayley Ave, Los Angeles, CA 90024",1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,2024-05-31,34.07017,-118.4544301,2.1744226287655324,"Smart & Final - 12210 Santa Monica Blvd W, Los Angeles",0.8005558265452603,"Ralphs Fresh Fare - 10861 Weyburn Ave, Los Angeles",0.7546116911370452,"Whole Foods Market - 1050 Gayley Ave, Los Angeles"
"Garbage Disposal, Breakfast Bar*, Private Patio or Balcony",2964.0,1br,664.0,"1920 Sawtelle Ave, Los Angeles, CA 90025",1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2024-05-31,34.0422605,-118.4444631,0.5525237502951821,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",0.5717313158220909,"Ralphs Fresh Fare - 11727 W Olympic Blvd, Los Angeles",0.8061002753658811,"Bristol Farms - 1515 Westwood Blvd, Los Angeles"
